customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,InternetService
CUST-00000,Female,Yes,No,No,232,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),250.67682989847452,58157.024536446086,Yes,No
CUST-00001,Female,Yes,Yes,No,15,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),551.3305959657099,8269.958939485648,No,No
CUST-00002,Female,Yes,No,No,291,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),394.04007125365376,114665.66073481324,No,No
CUST-00003,Female,No,Yes,No,128,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),43.52205821969503,5570.823452120964,Yes,No
CUST-00004,Female,Yes,No,No,234,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),550.8296333763401,128894.13421006358,Yes,No
CUST-00005,Female,No,Yes,No,30,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),369.892161530643,11096.764845919291,No,No
CUST-00006,Male,Yes,No,No,55,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,576.4035886041903,31702.197373230465,No,No
CUST-00007,Female,No,Yes,No,104,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),554.9721676601968,57717.105436660466,No,No
CUST-00008,Female,Yes,No,No,283,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),468.14937411495237,132486.2728745315,Yes,No
CUST-00009,Female,No,No,No,289,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,547.7180093932594,158290.50471465196,Yes,No
CUST-00010,Female,No,No,No,19,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),579.2339993489242,11005.445987629559,Yes,No
CUST-00011,Female,Yes,Yes,No,76,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,444.95673007967713,33816.711486055465,No,No
CUST-00012,Male,Yes,No,No,151,No,No,No,Yes,No,No,One year,No,Credit card (automatic),570.0964910466865,86084.57014804966,No,No
CUST-00013,Female,No,No,Yes,68,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),549.606996707803,37373.275776130606,Yes,No
CUST-00014,Female,No,No,No,102,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),120.34918649511681,12275.617022501914,Yes,No
CUST-00015,Female,Yes,Yes,Yes,233,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,206.18761189743114,48041.71357210146,No,No
CUST-00016,Female,Yes,No,Yes,260,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),276.3544789024323,71852.16451463239,No,No
CUST-00017,Female,Yes,No,Yes,12,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),44.977395122364,539.7287414683681,No,No
CUST-00018,Male,No,Yes,No,199,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),331.85478314275974,66039.10184540918,Yes,No
CUST-00019,Female,Yes,No,Yes,139,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),107.71733410554691,14972.70944067102,No,No
CUST-00020,Female,No,Yes,No,357,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,273.89560334191225,97780.73039306267,No,No
CUST-00021,Female,No,Yes,No,12,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,511.3700986674685,6136.441184009622,No,No
CUST-00022,Male,Yes,No,No,125,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),270.9933768504003,33874.17210630004,Yes,No
CUST-00023,Female,Yes,Yes,No,283,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,408.9406478031109,115730.20332828039,Yes,No
CUST-00024,Female,Yes,No,Yes,142,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,336.7169900087622,47813.81258124423,Yes,No
CUST-00025,Female,No,No,Yes,85,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,963.1098542202878,81864.33760872447,No,No
CUST-00026,Female,Yes,No,Yes,47,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),665.172750814745,31263.119288293015,No,No
CUST-00027,Male,Yes,Yes,No,26,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),408.7626490468732,10627.828875218704,No,No
CUST-00028,Male,Yes,Yes,No,340,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,29.443671452660176,10010.84829390446,Yes,No
CUST-00029,Male,No,Yes,Yes,12,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,171.09642008983283,2053.157041077994,No,No
CUST-00030,Female,No,Yes,No,140,No,No,Yes,No,No,No,One year,No,Electronic check,913.7752454184429,127928.534358582,Yes,No
CUST-00031,Female,Yes,No,No,5,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,768.1198905652518,3840.599452826259,No,No
CUST-00032,Female,Yes,Yes,Yes,141,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,299.2897855827516,42199.85976716798,No,No
CUST-00033,Female,Yes,Yes,No,152,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),379.13339867727314,57628.276598945515,No,No
CUST-00034,Female,No,No,Yes,67,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,583.3295954212111,39083.082893221144,No,No
CUST-00035,Female,No,Yes,No,252,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,47.325162335247214,11925.940908482298,No,No
CUST-00036,Female,No,No,No,44,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),516.2844265621943,22716.51476873655,Yes,No
CUST-00037,Female,No,Yes,No,22,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,246.1269528475311,5414.792962645684,No,No
CUST-00038,Female,No,Yes,No,56,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),361.2985870039263,20232.72087221987,No,No
CUST-00039,Female,No,Yes,No,154,No,No,No,No,No,No,Month-to-month,No,Mailed check,412.27552343318615,63490.43060871067,No,No
CUST-00040,Male,Yes,No,Yes,165,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),323.985545335644,53457.614980381266,No,No
CUST-00041,Female,No,No,No,26,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,755.5926731086415,19645.40950082468,No,No
CUST-00042,Male,No,No,Yes,342,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),567.988358719535,194252.01868208096,Yes,No
CUST-00043,Female,No,No,Yes,70,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),538.702968475004,37709.20779325028,No,No
CUST-00044,Female,No,Yes,Yes,112,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,532.30192051832,59617.81509805184,No,No
CUST-00045,Female,Yes,No,Yes,130,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),708.0932731853975,92052.12551410167,Yes,No
CUST-00046,Female,Yes,No,No,18,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,127.84458740507216,2301.202573291299,Yes,No
CUST-00047,Female,Yes,No,No,74,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,196.39334335545445,14533.10740830363,Yes,No
CUST-00048,Female,Yes,Yes,No,98,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),536.7595599810146,52602.43687813943,No,No
CUST-00049,Female,No,Yes,Yes,37,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,310.40031322881885,11484.811589466297,No,No
CUST-00050,Female,Yes,No,No,286,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),692.4471865658751,198039.8953578403,Yes,No
CUST-00051,Male,No,No,No,97,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),363.3711369383325,35247.00028301825,Yes,No
CUST-00052,Female,Yes,No,No,140,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,182.80916796217087,25593.283514703922,No,No
CUST-00053,Male,No,No,Yes,215,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,340.66313375398107,73242.57375710593,Yes,No
CUST-00054,Male,Yes,No,No,301,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,515.6769724884543,155218.76871902475,No,No
CUST-00055,Female,No,Yes,No,14,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,165.29882065210117,2314.1834891294166,No,No
